crates/umbra-core/src/solver.rs:34:16: replace > with >= in brent_root
crates/umbra-core/src/solver.rs:34:11: replace * with / in brent_root
crates/umbra-core/src/solver.rs:38:17: replace < with == in brent_root
crates/umbra-core/src/solver.rs:38:17: replace < with > in brent_root
crates/umbra-core/src/solver.rs:38:17: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:48:39: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:51:28: replace || with && in brent_root
crates/umbra-core/src/solver.rs:56:33: replace && with || in brent_root
crates/umbra-core/src/solver.rs:56:27: replace != with == in brent_root
crates/umbra-core/src/solver.rs:56:39: replace != with == in brent_root
crates/umbra-core/src/solver.rs:59:17: replace + with - in brent_root
crates/umbra-core/src/solver.rs:59:17: replace + with * in brent_root
crates/umbra-core/src/solver.rs:58:17: replace + with - in brent_root
crates/umbra-core/src/solver.rs:58:17: replace + with * in brent_root
crates/umbra-core/src/solver.rs:57:25: replace / with % in brent_root
crates/umbra-core/src/solver.rs:57:25: replace / with * in brent_root
crates/umbra-core/src/solver.rs:57:20: replace * with + in brent_root
crates/umbra-core/src/solver.rs:57:20: replace * with / in brent_root
crates/umbra-core/src/solver.rs:57:15: replace * with + in brent_root
crates/umbra-core/src/solver.rs:57:15: replace * with / in brent_root
crates/umbra-core/src/solver.rs:57:38: replace * with + in brent_root
crates/umbra-core/src/solver.rs:57:38: replace * with / in brent_root
crates/umbra-core/src/solver.rs:57:32: replace - with + in brent_root
crates/umbra-core/src/solver.rs:57:32: replace - with / in brent_root
crates/umbra-core/src/solver.rs:57:44: replace - with + in brent_root
crates/umbra-core/src/solver.rs:57:44: replace - with / in brent_root
crates/umbra-core/src/solver.rs:58:31: replace / with % in brent_root
crates/umbra-core/src/solver.rs:58:31: replace / with * in brent_root
crates/umbra-core/src/solver.rs:58:26: replace * with + in brent_root
crates/umbra-core/src/solver.rs:58:26: replace * with / in brent_root
crates/umbra-core/src/solver.rs:58:21: replace * with + in brent_root
crates/umbra-core/src/solver.rs:58:21: replace * with / in brent_root
crates/umbra-core/src/solver.rs:58:44: replace * with + in brent_root
crates/umbra-core/src/solver.rs:58:44: replace * with / in brent_root
crates/umbra-core/src/solver.rs:58:38: replace - with + in brent_root
crates/umbra-core/src/solver.rs:58:38: replace - with / in brent_root
crates/umbra-core/src/solver.rs:58:50: replace - with + in brent_root
crates/umbra-core/src/solver.rs:58:50: replace - with / in brent_root
crates/umbra-core/src/solver.rs:59:31: replace / with % in brent_root
crates/umbra-core/src/solver.rs:59:31: replace / with * in brent_root
crates/umbra-core/src/solver.rs:59:26: replace * with + in brent_root
crates/umbra-core/src/solver.rs:59:26: replace * with / in brent_root
crates/umbra-core/src/solver.rs:59:21: replace * with + in brent_root
crates/umbra-core/src/solver.rs:59:21: replace * with / in brent_root
crates/umbra-core/src/solver.rs:59:44: replace * with + in brent_root
crates/umbra-core/src/solver.rs:59:44: replace * with / in brent_root
crates/umbra-core/src/solver.rs:59:38: replace - with + in brent_root
crates/umbra-core/src/solver.rs:59:38: replace - with / in brent_root
crates/umbra-core/src/solver.rs:59:50: replace - with + in brent_root
crates/umbra-core/src/solver.rs:59:50: replace - with / in brent_root
crates/umbra-core/src/solver.rs:61:15: replace - with + in brent_root
crates/umbra-core/src/solver.rs:61:15: replace - with / in brent_root
crates/umbra-core/src/solver.rs:61:30: replace / with % in brent_root
crates/umbra-core/src/solver.rs:61:30: replace / with * in brent_root
crates/umbra-core/src/solver.rs:61:20: replace * with + in brent_root
crates/umbra-core/src/solver.rs:61:20: replace * with / in brent_root
crates/umbra-core/src/solver.rs:61:25: replace - with + in brent_root
crates/umbra-core/src/solver.rs:61:25: replace - with / in brent_root
crates/umbra-core/src/solver.rs:61:36: replace - with + in brent_root
crates/umbra-core/src/solver.rs:61:36: replace - with / in brent_root
crates/umbra-core/src/solver.rs:65:32: replace / with % in brent_root
crates/umbra-core/src/solver.rs:65:32: replace / with * in brent_root
crates/umbra-core/src/solver.rs:65:27: replace + with - in brent_root
crates/umbra-core/src/solver.rs:65:27: replace + with * in brent_root
crates/umbra-core/src/solver.rs:65:23: replace * with + in brent_root
crates/umbra-core/src/solver.rs:65:23: replace * with / in brent_root
crates/umbra-core/src/solver.rs:66:53: replace < with == in brent_root
crates/umbra-core/src/solver.rs:66:53: replace < with > in brent_root
crates/umbra-core/src/solver.rs:66:53: replace < with <= in brent_root
crates/umbra-core/src/solver.rs:66:43: replace * with / in brent_root
crates/umbra-core/src/solver.rs:66:37: replace - with + in brent_root
crates/umbra-core/src/solver.rs:66:37: replace - with / in brent_root
crates/umbra-core/src/solver.rs:66:48: replace - with + in brent_root
crates/umbra-core/src/solver.rs:66:48: replace - with / in brent_root
crates/umbra-core/src/solver.rs:71:13: replace || with && in brent_root
crates/umbra-core/src/solver.rs:70:13: replace || with && in brent_root
crates/umbra-core/src/solver.rs:69:13: replace || with && in brent_root
crates/umbra-core/src/solver.rs:67:22: delete ! in brent_root
crates/umbra-core/src/solver.rs:68:23: replace && with || in brent_root
crates/umbra-core/src/solver.rs:68:40: replace >= with < in brent_root
